,brands,model_names,cpu_models,storages,rams,operating_systems,prices,graphics,ratings,reviews
24,acer,Aspire 3 Spin14,Core i3,512.0,8.0,Windows 11 Home,40.8,Integrated,4.2,3745.0
25,Lenovo,IdeaPad Slim 3 15IRU8,Intel Core i3,512.0,8.0,Windows 11 Home,37.75,Integrated,5.0,3745.0
26,Lenovo,IdeaPad Slim 3,Core i3,512.0,8.0,Windows 11 Home,36.99,Integrated,4.1,3745.0
27,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.49,Integrated,4.2,3745.0
28,Lenovo,Ryzen 5,Ryzen 5,512.0,16.0,Windows 11 Home,43.99,Integrated,3.7,3745.0
29,Lenovo,IdeaPad 3 15IAU7,Core i3,512.0,8.0,Windows 11 Home,34.475,Integrated,3.9,3745.0
30,HP,HP Laptop,Intel Core i5,512.0,16.0,Windows 11 Home,50.99,Integrated,4.0,3745.0
31,JIO,JioBook,Others,64.0,4.0,JioOS,12.99,Integrated,3.0,3745.0
32,Lenovo,IdeaPad,Intel Core i5,512.0,16.0,Windows 11 Home,49.99,Integrated,3.9,3745.0
33,HP,HP 15s,Core i5,512.0,16.0,Windows 11 Home,43.99,Integrated,4.0,3745.0
34,Lenovo,IdeaPad Slim 3,Core i3,512.0,8.0,Windows 11 Home,36.99,Integrated,4.1,3745.0
35,HP,HP Laptop,Ryzen 3,512.0,8.0,Windows,30.99,Integrated,4.1,3745.0
36,Lenovo,IdeaPad,Ryzen 5,512.0,16.0,Windows 11 Home,36.99,Integrated,4.0,3745.0
37,ASUS,ASUS Vivobook 15,Core i3,512.0,16.0,Windows 11 Home,39.99,Integrated,4.1,3745.0
38,HP,HP Laptop,Athlon,256.0,8.0,Windows 11 Home,22.95,Integrated,4.5,3745.0
39,HP,HP 255,Ryzen 5,512.0,8.0,DOS,28.997,Integrated,2.7,3745.0
40,Dell,Inspiron,Core i3,512.0,8.0,Windows 11 Home,37.49,Integrated,3.9,3745.0
41,ASUS,TUF Gaming F15,AMD Ryzen 7,512.0,16.0,Windows 11 Home,64.3,PCI Express,3.9,3745.0
42,HP,HP Laptop,AMD Ryzen 5 5500U,512.0,16.0,Windows 11 Home,36.923,Integrated,4.1,3745.0
43,Lenovo,IdeaPad,Ryzen 3,512.0,8.0,Windows 11 Home,30.99,Integrated,4.0,3745.0
44,Lenovo,IdeaPad 1 14IGL7,Celeron N4020,512.0,8.0,Windows 11 Home,24.79,Integrated,3.7,3745.0
45,acer,Aspire 3,Celeron,256.0,8.0,Windows 11 Home,21.99,Integrated,3.4,3745.0
46,ASUS,Vivobook 15,Core i3-1215U,512.0,8.0,Windows 11 Home,32.78,Integrated,4.0,3745.0
47,acer,Aspire Lite,Ryzen 3 5300U,512.0,8.0,Windows 11 Home,26.99,Integrated,4.0,3745.0
48,HP,HP Laptop,Ryzen 5,512.0,16.0,Windows 11 Home,69.99,PCI Express,4.5,3745.0
